run,eps,tl,tu,post_processing,duration,unique_size,acc_size,hausdorff
1,0.5,0,1,post_centroid,0.16566705703735352,22,742.3006776528143,61.37673676018528
2,0.5,0,1,post_centroid,0.15785694122314453,26,845.0543218395906,57.76773063861404
3,0.5,0,1,post_centroid,0.09402227401733398,19,656.5132326550237,66.68985815839427
4,0.5,0,1,post_centroid,0.046730995178222656,26,828.9992958267184,69.04421637855758
5,0.5,0,1,post_centroid,0.047278404235839844,15,474.8730541602663,70.6937701761393
6,0.5,0,1,post_centroid,0.08697390556335449,25,850.8010602764995,63.650526572733256
7,0.5,0,1,post_centroid,0.04465842247009277,18,577.3187999783457,64.63628005410176
8,0.5,0,1,post_centroid,0.07087540626525879,19,729.819136689367,68.60769928259964
1,0.5,0,1,post_uniform,0.05506157875061035,22,687.1658425150479,66.40570559613309
2,0.5,0,1,post_uniform,0.05207467079162598,17,623.8708202948568,63.1584937642933
3,0.5,0,1,post_uniform,0.05044364929199219,12,370.70639650449715,73.83200886223777
4,0.5,0,1,post_uniform,0.05867481231689453,20,674.0832491516702,67.63759037292165
5,0.5,0,1,post_uniform,0.07693147659301758,22,664.6592170421629,71.34095945797739
6,0.5,0,1,post_uniform,0.10771441459655762,18,526.9399340039105,54.101787171427006
7,0.5,0,1,post_uniform,0.11209988594055176,20,720.3396069143644,64.41776168061871
8,0.5,0,1,post_uniform,0.050724029541015625,34,1062.3246732449757,61.30208510472387
1,0.5,0,2,post_centroid,0.06088876724243164,19,975.1320892696388,101.96886604895487
2,0.5,0,2,post_centroid,0.06208229064941406,3,112.74906680906352,120.83611747431193
3,0.5,0,2,post_centroid,0.0691826343536377,15,745.0989793296485,84.96434611422413
4,0.5,0,2,post_centroid,0.05831313133239746,6,289.8211846446709,91.13880946588571
5,0.5,0,2,post_centroid,0.059697866439819336,8,413.0532506433653,93.9681822474486
6,0.5,0,2,post_centroid,0.06693792343139648,3,134.47416035328297,95.2386133853347
7,0.5,0,2,post_centroid,0.05993318557739258,18,833.6718929097277,79.54379073908197
8,0.5,0,2,post_centroid,0.06688618659973145,12,603.0786337087447,92.30411956905822
1,0.5,0,2,post_uniform,0.04290890693664551,11,609.1429928089558,96.84337565381688
2,0.5,0,2,post_uniform,0.054518938064575195,7,304.3901000187258,93.13728505253803
3,0.5,0,2,post_uniform,0.05609130859375,14,624.694364774578,94.63673877556595
4,0.5,0,2,post_uniform,0.08515334129333496,16,741.1825033402071,92.0460067838373
5,0.5,0,2,post_uniform,0.07765841484069824,6,291.7883203437882,89.05997543119558
6,0.5,0,2,post_uniform,0.05491495132446289,5,216.55387273166053,92.35224478913548
7,0.5,0,2,post_uniform,0.08338356018066406,16,741.8687654183464,87.24500834000303
8,0.5,0,2,post_uniform,0.09959077835083008,5,189.0113486267797,111.01395275163595
1,0.5,0,3,post_centroid,0.0686795711517334,5,260.7922601962442,123.22287749793603
2,0.5,0,3,post_centroid,0.06254911422729492,16,935.4895073492883,107.41158594698719
3,0.5,0,3,post_centroid,0.11155557632446289,7,421.0818588324019,111.43703946897958
4,0.5,0,3,post_centroid,0.07284927368164062,6,428.59957525056717,121.40807222196553
5,0.5,0,3,post_centroid,0.09605884552001953,6,333.3778677143373,135.3845689372692
6,0.5,0,3,post_centroid,0.09839558601379395,1,47.472721943360455,177.97117275640764
7,0.5,0,3,post_centroid,0.0927877426147461,2,137.67562193257734,128.4383758658331
8,0.5,0,3,post_centroid,0.08019113540649414,7,398.37048644141754,128.42855195540596
1,0.5,0,3,post_uniform,0.05662870407104492,14,898.5243792637693,113.49719971815297
2,0.5,0,3,post_uniform,0.05866670608520508,8,501.5143360983103,104.2450518934996
3,0.5,0,3,post_uniform,0.06697893142700195,5,299.66173066819067,134.26212575623194
4,0.5,0,3,post_uniform,0.058001041412353516,7,456.68612651678444,140.12643027725426
5,0.5,0,3,post_uniform,0.10113811492919922,11,720.5804384554729,104.75796853885825
6,0.5,0,3,post_uniform,0.10416650772094727,1,64.02138935687925,168.4649364202109
7,0.5,0,3,post_uniform,0.10470414161682129,2,92.1298784994973,146.24733348291434
8,0.5,0,3,post_uniform,0.11641860008239746,4,246.24803343745052,122.64753626490182
1,0.5,0,4,post_centroid,0.06746673583984375,1,63.92166046396895,176.4217927406848
2,0.5,0,4,post_centroid,0.07534098625183105,14,1121.0757484936194,129.28208223527557
3,0.5,0,4,post_centroid,0.07730484008789062,5,378.4935291639276,127.69020966334462
4,0.5,0,4,,0.0869455337524414,0,0.0,
5,0.5,0,4,post_centroid,0.10281682014465332,2,142.97283673951335,166.38007036797006
6,0.5,0,4,post_centroid,0.1073603630065918,6,509.09979302054603,133.1528368805809
7,0.5,0,4,,0.11438536643981934,0,0.0,
8,0.5,0,4,,0.10079216957092285,0,0.0,
1,0.5,0,4,post_uniform,0.059385061264038086,3,193.1021410603417,142.01952477266312
2,0.5,0,4,post_uniform,0.0688016414642334,1,69.52564620937173,156.1167652617656
3,0.5,0,4,post_uniform,0.08021759986877441,3,236.03960943402612,119.72523196098899
4,0.5,0,4,post_uniform,0.13315582275390625,5,388.23372349574663,157.7003434596036
5,0.5,0,4,,0.09495210647583008,0,0.0,
6,0.5,0,4,,0.11814689636230469,0,0.0,
7,0.5,0,4,post_uniform,0.07792043685913086,2,118.74081734633498,168.01418487684066
8,0.5,0,4,post_uniform,0.08186936378479004,2,246.4115123760032,170.4762549656211
1,0.5,0,5,post_centroid,0.11246800422668457,2,161.41421794459433,179.08754318943684
2,0.5,0,5,,0.11650586128234863,0,0.0,
3,0.5,0,5,,0.11378765106201172,0,0.0,
4,0.5,0,5,,0.10018253326416016,0,0.0,
5,0.5,0,5,,0.09587740898132324,0,0.0,
6,0.5,0,5,,0.09548187255859375,0,0.0,
7,0.5,0,5,,0.12067461013793945,0,0.0,
8,0.5,0,5,,0.09216666221618652,0,0.0,
1,0.5,0,5,post_uniform,0.08553647994995117,1,101.34287820939704,177.29754881110227
2,0.5,0,5,,0.07811403274536133,0,0.0,
3,0.5,0,5,,0.13062024116516113,0,0.0,
4,0.5,0,5,,0.09367632865905762,0,0.0,
5,0.5,0,5,post_uniform,0.1309223175048828,2,149.71748699319306,180.92284787625644
6,0.5,0,5,,0.09835147857666016,0,0.0,
7,0.5,0,5,,0.12860846519470215,0,0.0,
8,0.5,0,5,,0.09215736389160156,0,0.0,
1,0.5,0,6,post_centroid,0.09488821029663086,1,102.65210607831592,235.98124625667367
2,0.5,0,6,,0.09925341606140137,0,0.0,
3,0.5,0,6,,0.1302814483642578,0,0.0,
4,0.5,0,6,,0.10593342781066895,0,0.0,
5,0.5,0,6,,0.0941312313079834,0,0.0,
6,0.5,0,6,,0.15642094612121582,0,0.0,
7,0.5,0,6,,0.11843037605285645,0,0.0,
8,0.5,0,6,,0.12227082252502441,0,0.0,
1,0.5,0,6,,0.14333844184875488,0,0.0,
2,0.5,0,6,,0.12964582443237305,0,0.0,
3,0.5,0,6,,0.13000011444091797,0,0.0,
4,0.5,0,6,,0.18019938468933105,0,0.0,
5,0.5,0,6,post_uniform,0.18725204467773438,2,189.25037276667032,189.53112148505244
6,0.5,0,6,,0.16143536567687988,0,0.0,
7,0.5,0,6,,0.1591496467590332,0,0.0,
8,0.5,0,6,,0.1153872013092041,0,0.0,
1,0.5,0,7,post_centroid,0.0972127914428711,1,109.51441391652843,204.65443792823817
2,0.5,0,7,,0.12938380241394043,0,0.0,
3,0.5,0,7,,0.12581229209899902,0,0.0,
4,0.5,0,7,,0.14923524856567383,0,0.0,
5,0.5,0,7,,0.12025713920593262,0,0.0,
6,0.5,0,7,,0.16598749160766602,0,0.0,
7,0.5,0,7,,0.14579200744628906,0,0.0,
8,0.5,0,7,,0.13289999961853027,0,0.0,
