run,eps,m,tl,tu,duration,hausdorff
1,0.5,20,0,36,21.30475163459778,183.72759689510664
2,0.5,20,0,36,20.958057165145874,188.27708701080562
3,0.5,20,0,36,18.89958667755127,196.23183108819893
4,0.5,20,0,36,20.919742584228516,162.31369166547515
5,0.5,20,0,36,21.30651354789734,220.77152361199626
6,0.5,20,0,36,21.49545192718506,178.3371438537492
7,0.5,20,0,36,21.48051404953003,155.66156670218325
8,0.5,20,0,36,22.148160934448242,167.10351479792888
1,0.5,40,0,36,29.07428503036499,140.50982738216936
2,0.5,40,0,36,30.22047209739685,134.37719720821522
3,0.5,40,0,36,30.47923445701599,129.17799096439495
4,0.5,40,0,36,30.19196629524231,138.18164927385882
5,0.5,40,0,36,30.65821409225464,139.8454542919874
6,0.5,40,0,36,29.454185485839844,161.11091389857182
7,0.5,40,0,36,29.963193893432617,152.85466885799053
8,0.5,40,0,36,30.01196575164795,166.04417239762293
1,0.5,60,0,36,38.116451263427734,109.5082350979114
2,0.5,60,0,36,39.79796624183655,152.5697393423063
3,0.5,60,0,36,39.35368466377258,170.33262627059716
4,0.5,60,0,36,39.77865171432495,150.6010549966299
5,0.5,60,0,36,39.86757707595825,133.83511704801936
6,0.5,60,0,36,39.63181161880493,122.2654748834544
7,0.5,60,0,36,38.53874897956848,127.19271475300734
8,0.5,60,0,36,39.462923526763916,148.1739979869608
1,0.5,80,0,36,58.8130886554718,169.0630924085424
2,0.5,80,0,36,63.61478114128113,129.59856587491882
3,0.5,80,0,36,58.88372731208801,131.5431794421278
4,0.5,80,0,36,62.4553599357605,139.60412967493295
5,0.5,80,0,36,62.08421349525452,143.5131731955624
6,0.5,80,0,36,61.760096073150635,123.65932140168144
7,0.5,80,0,36,57.4893319606781,116.81754097404668
8,0.5,80,0,36,62.41345691680908,159.10301936598387
1,1.0,20,0,36,21.021050453186035,185.11723724582706
2,1.0,20,0,36,20.944873094558716,191.20412907778876
3,1.0,20,0,36,20.457693815231323,158.71997166933912
4,1.0,20,0,36,17.755624771118164,152.02125859545322
5,1.0,20,0,36,20.383166074752808,204.49449605655477
6,1.0,20,0,36,20.750334978103638,185.12047392595795
7,1.0,20,0,36,19.382261991500854,289.12655701094576
8,1.0,20,0,36,20.9785897731781,187.69448446314897
1,1.0,40,0,36,37.45807218551636,128.0930990522062
2,1.0,40,0,36,38.279356479644775,147.7075825787879
3,1.0,40,0,36,36.656798362731934,147.7075825787879
4,1.0,40,0,36,39.535276889801025,185.2775681357051
5,1.0,40,0,36,34.877827405929565,155.24822359880267
6,1.0,40,0,36,37.01745247840881,138.04656686177435
7,1.0,40,0,36,40.58549952507019,163.60087710712818
8,1.0,40,0,36,37.77265405654907,188.93884099981565
